"accountcode","src","dst","dcontext","clid","channel","dstchannel","lastapp","lastdata","calldate","answerdate","hangupdate","duration","billsec","disposition","amaflags","uniqueid","userfield"
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f11","","Hangup","","2023-05-31 00:00:30","2023-05-31 00:00:30","2023-05-31 00:00:48","18","18","ANSWERED","DOCUMENTATION","1685462430.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f13","","Hangup","","2023-05-31 00:00:32","2023-05-31 00:00:32","2023-05-31 00:00:50","18","18","ANSWERED","DOCUMENTATION","1685462432.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f14","","Hangup","","2023-05-31 00:00:33","2023-05-31 00:00:33","2023-05-31 00:00:50","17","17","ANSWERED","DOCUMENTATION","1685462433.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f15","","Hangup","","2023-05-31 00:00:33","2023-05-31 00:00:33","2023-05-31 00:00:51","18","18","ANSWERED","DOCUMENTATION","1685462433.1817",""
"","6150","s","from-trunk","6150","SIP/122.53.182.213-00028f16","","Hangup","","2023-05-31 00:00:34","2023-05-31 00:00:34","2023-05-31 00:00:51","17","17","ANSWERED","DOCUMENTATION","1685462434.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f17","","Hangup","","2023-05-31 00:00:34","2023-05-31 00:00:34","2023-05-31 00:00:51","17","17","ANSWERED","DOCUMENTATION","1685462434.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f18","","Hangup","","2023-05-31 00:00:35","2023-05-31 00:00:35","2023-05-31 00:00:52","17","17","ANSWERED","DOCUMENTATION","1685462435.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f19","","Hangup","","2023-05-31 00:00:35","2023-05-31 00:00:35","2023-05-31 00:00:52","17","17","ANSWERED","DOCUMENTATION","1685462435.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f1a","","Hangup","","2023-05-31 00:00:36","2023-05-31 00:00:36","2023-05-31 00:00:53","17","17","ANSWERED","DOCUMENTATION","1685462436.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f1b","","Hangup","","2023-05-31 00:00:36","2023-05-31 00:00:36","2023-05-31 00:00:53","17","17","ANSWERED","DOCUMENTATION","1685462436.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f1c","","Hangup","","2023-05-31 00:00:37","2023-05-31 00:00:37","2023-05-31 00:00:54","17","17","ANSWERED","DOCUMENTATION","1685462437.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f1e","","Hangup","","2023-05-31 00:00:38","2023-05-31 00:00:38","2023-05-31 00:00:54","16","16","ANSWERED","DOCUMENTATION","1685462438.1817",""
"","01135","s","from-trunk","01135","SIP/122.53.182.213-00028f1d","","Hangup","","2023-05-31 00:00:37","2023-05-31 00:00:37","2023-05-31 00:00:54","17","17","ANSWERED","DOCUMENTATION","1685462437.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f21","","Hangup","","2023-05-31 00:00:39","2023-05-31 00:00:39","2023-05-31 00:00:55","16","16","ANSWERED","DOCUMENTATION","1685462439.1817",""
"","1136","s","from-trunk","1136","SIP/122.53.182.213-00028f1f","","Hangup","","2023-05-31 00:00:38","2023-05-31 00:00:38","2023-05-31 00:00:56","18","18","ANSWERED","DOCUMENTATION","1685462438.1817",""
